Food_Item,Category,Sugar_Content (g),Calories (kcal),Protein (g),Fiber (g),Carbohydrates (g),Glycemic_Index,Ripeness,Size,Average_Weight (g),Fruit
Grapes,Fruit,16.9,72.9,1.9,0.6,25.0,86,Ripe,Small,395.0,True
Fig,Fruit,7.9,63.9,1.3,3.0,21.5,43,Ripe,Large,245.6,True
Fenugreek,Vegetable,3.9,35.8,4.8,5.8,3.5,24,Unripe,Small,1032.0,False
Grapes,Fruit,17.2,97.0,0.8,2.6,18.4,62,Ripe,Small,148.7,True
Green Chili,Vegetable,4.5,57.6,1.7,3.4,7.6,59,Unripe,Small,1028.5,False
Kohlrabi,Vegetable,0.6,48.7,2.2,4.7,8.7,39,Unripe,Medium,286.4,False
Grapes,Fruit,14.1,35.9,0.7,3.8,6.7,96,Ripe,Medium,333.2,True
Bottle Gourd,Vegetable,1.1,36.5,1.7,7.9,11.7,27,Overripe,Small,622.1,False
Mushrooms,Vegetable,2.3,47.2,4.7,3.1,4.8,48,Overripe,Medium,1242.8,False
Garlic,Vegetable,1.6,24.0,2.6,1.6,10.3,57,Unripe,Large,820.8,False
Bitter Gourd,Vegetable,1.7,57.9,3.3,1.6,13.2,36,Ripe,Small,1492.5,False
Sapodilla,Fruit,12.4,46.4,1.7,2.7,16.4,78,Overripe,Small,221.2,True
Grapes,Fruit,6.3,79.6,0.7,0.7,19.6,50,Overripe,Large,363.1,True
Tomato,Vegetable,3.8,40.7,3.9,2.5,5.9,49,Overripe,Medium,677.3,False
Spinach,Vegetable,0.4,31.9,2.8,3.1,5.2,21,Unripe,Small,1361.1,False
Coriander Leaves,Vegetable,3.3,54.6,3.0,3.7,9.1,42,Ripe,Medium,431.0,False
Peas,Vegetable,3.6,29.3,3.4,2.5,9.0,48,Unripe,Small,1140.5,False
French Beans,Vegetable,1.7,44.9,3.3,3.6,14.5,31,Unripe,Large,413.9,False
Sweet Lime,Fruit,14.8,71.6,0.6,1.4,14.0,75,Unripe,Large,152.9,True
Tamarind,Fruit,7.0,43.3,1.1,4.0,9.8,80,Ripe,Medium,95.7,True
Fig,Fruit,6.4,98.6,1.4,1.0,10.1,62,Unripe,Medium,178.4,True
Banana,Fruit,10.8,55.5,2.9,1.1,15.8,67,Overripe,Small,229.9,True
Apple,Fruit,16.0,33.9,2.4,1.1,10.6,43,Unripe,Large,442.5,True
French Beans,Vegetable,2.2,61.2,2.5,2.3,14.1,56,Overripe,Small,361.4,False
Bitter Gourd,Vegetable,1.5,51.4,1.1,7.1,8.3,28,Overripe,Large,1414.9,False
Beetroot,Vegetable,3.6,33.0,4.0,1.9,13.6,57,Unripe,Small,868.7,False
Pumpkin,Vegetable,0.5,60.3,3.9,2.5,7.7,49,Overripe,Large,887.0,False
Bottle Gourd,Vegetable,3.1,51.6,1.4,5.9,7.0,45,Unripe,Medium,885.4,False
Guava,Fruit,17.6,96.7,2.1,4.2,17.1,92,Ripe,Medium,69.7,True
Papaya,Fruit,19.7,85.9,2.6,4.7,13.7,50,Unripe,Medium,262.6,True
Sweet Corn,Vegetable,3.9,61.5,2.5,5.2,8.2,39,Unripe,Medium,664.8,False
Guava,Fruit,2.0,42.8,2.5,2.9,9.8,91,Unripe,Large,468.5,True
Spinach,Vegetable,2.1,63.4,5.0,3.0,7.7,42,Unripe,Small,1154.4,False
Orange,Fruit,13.7,79.0,2.3,1.2,7.5,40,Overripe,Small,92.1,True
Green Chili,Vegetable,2.4,60.8,5.0,3.8,10.5,55,Unripe,Large,1323.3,False
Cauliflower,Vegetable,2.6,60.1,4.7,1.3,7.7,41,Overripe,Small,695.9,False
Turnip,Vegetable,1.3,54.9,3.0,8.0,3.4,50,Ripe,Large,268.6,False
Colocasia,Vegetable,1.4,42.2,1.6,7.1,12.5,33,Overripe,Small,1037.6,False
Bitter Gourd,Vegetable,4.6,25.5,3.6,6.7,7.5,44,Overripe,Medium,1205.7,False
Peas,Vegetable,0.8,35.7,3.0,2.7,14.2,45,Unripe,Small,1018.5,False
Pear,Fruit,3.5,90.5,1.2,0.6,8.6,46,Overripe,Large,341.9,True
Lychee,Fruit,7.5,63.6,0.5,0.5,16.5,93,Unripe,Small,420.6,True
Watermelon,Fruit,11.4,32.5,2.9,4.3,8.3,48,Unripe,Medium,369.7,True
Plum,Fruit,9.1,63.1,1.8,4.2,8.9,64,Overripe,Medium,397.1,True
Coriander Leaves,Vegetable,4.6,26.7,4.4,4.5,7.5,32,Ripe,Medium,1350.8,False
Plum,Fruit,17.6,94.7,1.4,3.8,7.7,87,Ripe,Medium,186.2,True
Jackfruit,Fruit,9.3,45.6,1.1,0.7,21.0,64,Unripe,Medium,261.5,True
French Beans,Vegetable,2.2,42.7,3.0,1.4,8.5,24,Ripe,Medium,233.2,False
Colocasia,Vegetable,1.7,25.9,3.7,2.0,9.0,60,Overripe,Large,1380.3,False
Fig,Fruit,18.3,99.9,2.1,2.3,13.1,44,Unripe,Small,408.0,True
Pineapple,Fruit,3.6,31.3,1.5,0.7,22.5,100,Overripe,Large,314.0,True
Turnip,Vegetable,1.6,25.6,4.4,1.5,13.8,45,Unripe,Medium,456.4,False
Bottle Gourd,Vegetable,1.2,27.2,3.0,5.0,7.4,49,Unripe,Medium,821.4,False
Okra,Vegetable,4.6,39.6,1.9,5.5,4.6,60,Unripe,Small,852.4,False
Apple,Fruit,11.4,96.2,2.2,2.9,7.7,56,Unripe,Small,280.2,True
Fenugreek,Vegetable,0.0,51.1,2.9,4.2,14.6,23,Overripe,Large,1007.2,False
Cabbage,Vegetable,0.3,56.0,1.9,4.8,3.9,29,Ripe,Large,1176.2,False
Lychee,Fruit,4.6,54.1,1.4,1.1,17.4,43,Unripe,Large,275.3,True
Ginger,Vegetable,4.7,63.7,3.8,4.1,14.0,45,Unripe,Small,207.6,False
Onion,Vegetable,2.3,59.4,2.2,7.9,15.0,35,Overripe,Large,706.1,False
Apple,Fruit,11.1,50.6,0.6,1.0,15.3,62,Overripe,Small,403.8,True
Strawberry,Fruit,3.7,46.2,2.5,2.7,23.2,66,Unripe,Small,251.2,True
Jackfruit,Fruit,12.6,58.9,2.4,2.8,10.2,47,Unripe,Medium,167.3,True
Watermelon,Fruit,9.6,47.8,2.1,0.7,23.7,76,Ripe,Small,447.9,True
Strawberry,Fruit,11.4,54.8,0.8,2.4,15.4,75,Ripe,Large,174.8,True
Tomato,Vegetable,2.1,20.0,2.7,5.3,10.2,49,Overripe,Medium,1264.4,False
Apple,Fruit,0.1,53.4,2.0,2.0,15.7,92,Overripe,Medium,495.6,True
Pineapple,Fruit,14.1,48.2,2.9,1.5,20.4,66,Ripe,Large,81.8,True
Lychee,Fruit,17.0,58.2,1.1,2.0,21.1,73,Overripe,Small,214.2,True
Pineapple,Fruit,6.1,97.8,0.9,1.8,17.2,61,Ripe,Large,389.6,True
Pomegranate,Fruit,17.4,68.6,2.1,1.8,10.1,96,Unripe,Large,238.1,True
Yam,Vegetable,2.8,22.1,1.3,7.9,7.6,47,Unripe,Medium,483.8,False
Apple,Fruit,6.0,99.3,2.9,3.0,9.0,83,Overripe,Medium,303.1,True
Orange,Fruit,7.0,96.2,2.9,3.4,7.7,67,Overripe,Small,431.8,True
Bitter Gourd,Vegetable,2.7,63.5,2.8,2.0,6.7,26,Unripe,Small,587.2,False
Ginger,Vegetable,4.0,58.7,2.9,5.9,3.4,35,Unripe,Medium,761.2,False
Kohlrabi,Vegetable,0.7,30.7,1.8,7.8,10.7,49,Unripe,Large,1431.8,False
Mango,Fruit,13.6,43.7,1.4,1.9,7.7,76,Unripe,Medium,216.3,True
Okra,Vegetable,0.3,49.5,2.5,5.6,13.2,53,Ripe,Small,1419.5,False
Turnip,Vegetable,2.3,43.9,4.6,3.7,4.7,39,Overripe,Medium,1117.5,False
Guava,Fruit,9.0,75.1,1.3,2.3,8.6,71,Overripe,Medium,335.4,True
Sweet Corn,Vegetable,4.3,57.7,1.0,5.1,12.7,53,Ripe,Large,578.2,False
Onion,Vegetable,3.8,24.4,3.2,2.3,12.8,32,Overripe,Medium,1458.1,False
Lychee,Fruit,5.3,64.5,1.1,1.5,6.0,73,Unripe,Medium,324.7,True
Sapodilla,Fruit,16.7,75.9,1.0,1.0,24.0,64,Ripe,Medium,386.8,True
Spinach,Vegetable,1.2,62.4,3.4,5.5,11.1,35,Ripe,Large,499.8,False
Mango,Fruit,1.8,99.5,2.0,2.8,11.8,42,Unripe,Medium,227.1,True
Okra,Vegetable,1.8,45.4,4.0,7.0,3.6,57,Overripe,Small,1489.4,False
French Beans,Vegetable,0.8,28.4,2.0,6.2,11.6,34,Unripe,Medium,438.6,False
Mushrooms,Vegetable,1.9,38.9,2.2,3.5,10.5,47,Ripe,Medium,378.9,False
Lychee,Fruit,10.8,88.9,1.6,2.4,9.5,58,Overripe,Small,128.9,True
Papaya,Fruit,13.9,57.3,2.0,4.8,6.4,63,Ripe,Medium,378.7,True
Banana,Fruit,3.6,72.9,1.3,4.1,16.5,87,Unripe,Large,206.1,True
Bottle Gourd,Vegetable,4.8,63.3,2.8,6.6,12.7,55,Overripe,Medium,506.6,False
Potato,Vegetable,4.2,66.5,1.7,5.3,11.4,32,Unripe,Small,1368.1,False
Mango,Fruit,15.4,81.5,2.9,2.0,22.3,94,Unripe,Medium,352.7,True
Carrot,Vegetable,0.4,66.6,1.1,3.9,10.8,39,Overripe,Large,1435.2,False
Pear,Fruit,3.8,35.6,2.7,3.1,18.0,58,Ripe,Small,418.7,True
Guava,Fruit,1.0,97.9,1.6,2.4,19.8,98,Overripe,Small,196.0,True
Litchi,Fruit,4.9,70.0,0.6,3.5,21.0,98,Ripe,Small,196.6,True
Custard Apple,Fruit,0.5,45.3,1.9,3.9,13.3,41,Ripe,Large,330.7,True
Jackfruit,Fruit,8.7,74.9,2.0,1.0,13.8,40,Unripe,Small,308.3,True
Green Chili,Vegetable,3.1,59.9,3.1,2.3,4.9,53,Overripe,Small,1455.2,False
Mango,Fruit,18.0,70.0,1.3,4.5,24.4,100,Ripe,Small,452.3,True
Strawberry,Fruit,11.2,61.7,0.9,4.7,11.1,80,Ripe,Medium,386.5,True
Strawberry,Fruit,2.3,39.3,1.1,4.1,18.6,85,Unripe,Small,132.4,True
Coriander Leaves,Vegetable,1.3,48.7,1.2,2.1,4.1,45,Overripe,Medium,650.8,False
Cauliflower,Vegetable,1.4,49.0,5.0,1.3,14.1,41,Overripe,Small,394.9,False
Sweet Lime,Fruit,8.3,85.1,3.0,2.7,6.5,50,Ripe,Small,205.6,True
Apple,Fruit,8.8,83.9,2.6,3.8,12.4,82,Unripe,Small,51.2,True
Plum,Fruit,10.1,94.2,2.9,2.7,16.9,78,Overripe,Medium,315.6,True
Okra,Vegetable,1.7,54.4,1.4,5.1,13.1,46,Ripe,Medium,469.4,False
Pumpkin,Vegetable,2.7,40.4,3.0,5.7,3.3,24,Unripe,Small,221.3,False
Pumpkin,Vegetable,4.9,62.2,3.2,2.1,3.6,39,Overripe,Small,307.9,False
Sweet Corn,Vegetable,3.9,29.9,4.7,4.1,3.4,57,Unripe,Large,398.9,False
Watermelon,Fruit,4.5,42.3,0.9,0.7,15.6,76,Unripe,Medium,471.9,True
Litchi,Fruit,5.6,32.8,1.9,4.6,15.6,40,Unripe,Small,477.2,True
Potato,Vegetable,3.1,34.7,2.2,3.2,10.7,22,Unripe,Large,286.7,False
Litchi,Fruit,13.7,96.5,2.6,1.4,24.9,100,Ripe,Small,187.4,True
Fig,Fruit,8.3,93.8,1.9,2.4,14.4,80,Unripe,Large,143.9,True
Radish,Vegetable,1.7,52.7,2.2,6.5,13.8,60,Ripe,Large,165.5,False
Fig,Fruit,14.7,86.7,1.8,4.2,23.1,86,Overripe,Large,188.8,True
French Beans,Vegetable,2.1,21.1,4.0,4.6,4.5,30,Overripe,Medium,849.4,False
Cabbage,Vegetable,0.7,56.9,4.1,6.7,11.3,42,Overripe,Small,1034.7,False
Watermelon,Fruit,19.1,53.9,0.8,0.8,14.5,68,Ripe,Large,288.9,True
Pomegranate,Fruit,11.3,57.5,2.7,0.8,23.7,65,Ripe,Small,191.0,True
Papaya,Fruit,1.7,85.3,2.0,1.3,16.0,72,Ripe,Small,177.6,True
Cauliflower,Vegetable,3.9,25.5,2.1,4.4,13.8,43,Overripe,Small,1372.3,False
Colocasia,Vegetable,3.3,63.8,1.5,7.1,12.6,33,Overripe,Medium,646.6,False
Pear,Fruit,2.7,42.3,1.6,2.9,8.2,84,Ripe,Medium,337.7,True
Chayote,Vegetable,0.4,47.1,3.5,4.8,9.0,25,Ripe,Small,1471.6,False
Pineapple,Fruit,3.0,93.1,1.6,1.7,16.7,72,Unripe,Small,151.7,True
French Beans,Vegetable,0.6,32.7,2.5,3.5,3.5,52,Overripe,Medium,1446.7,False
Gooseberry,Fruit,3.8,31.0,2.9,1.8,23.1,74,Ripe,Medium,223.8,True
Onion,Vegetable,4.5,31.0,2.0,2.3,8.4,38,Unripe,Small,665.8,False
Papaya,Fruit,2.8,30.6,2.0,0.7,21.9,91,Ripe,Large,96.2,True
Spinach,Vegetable,2.7,43.2,4.5,2.9,6.3,22,Ripe,Large,1063.8,False
Okra,Vegetable,2.0,27.2,3.7,6.7,13.0,48,Unripe,Large,865.8,False
Carrot,Vegetable,1.2,26.8,3.3,3.0,11.8,50,Overripe,Large,382.8,False
Ginger,Vegetable,0.3,62.4,4.8,7.0,5.3,39,Unripe,Medium,780.6,False
Plum,Fruit,8.8,40.0,1.3,1.7,18.7,76,Ripe,Large,375.3,True
Watermelon,Fruit,16.6,52.4,1.4,4.6,9.1,75,Overripe,Large,194.5,True
French Beans,Vegetable,4.5,36.8,3.4,6.8,11.8,35,Ripe,Medium,406.5,False
Papaya,Fruit,5.3,75.5,1.6,2.1,10.0,44,Unripe,Large,226.5,True
Coriander Leaves,Vegetable,3.5,66.3,2.3,3.4,3.8,38,Unripe,Large,570.6,False
Drumstick,Vegetable,1.3,62.9,3.3,6.8,9.2,35,Unripe,Medium,1167.7,False
Cabbage,Vegetable,0.0,45.9,1.3,4.8,9.7,30,Unripe,Medium,1025.0,False
Guava,Fruit,0.1,78.4,1.9,4.4,6.0,82,Overripe,Large,203.8,True
Brinjal,Vegetable,4.1,29.7,1.1,4.3,9.0,45,Unripe,Small,329.0,False
Chayote,Vegetable,0.1,28.4,4.9,4.9,4.4,29,Ripe,Small,575.0,False
Potato,Vegetable,3.4,54.4,1.5,6.9,11.2,57,Overripe,Small,1447.1,False
Pear,Fruit,14.5,35.5,1.9,4.3,16.6,76,Overripe,Medium,483.9,True
Mango,Fruit,7.6,59.6,1.3,2.1,21.2,79,Overripe,Medium,240.3,True
Orange,Fruit,16.8,69.0,1.1,2.7,22.6,55,Unripe,Small,247.4,True
Apple,Fruit,7.8,39.4,2.6,1.2,7.1,58,Overripe,Large,316.9,True
Peas,Vegetable,1.6,48.2,3.9,2.3,4.7,48,Ripe,Medium,303.4,False
Plum,Fruit,2.1,30.1,1.1,4.8,21.2,86,Overripe,Small,141.7,True
Fig,Fruit,11.0,62.0,1.0,2.4,20.5,50,Unripe,Medium,66.0,True
Radish,Vegetable,2.8,64.5,3.0,3.1,3.4,31,Overripe,Medium,1245.4,False
Pumpkin,Vegetable,0.4,27.2,2.2,3.4,7.7,35,Overripe,Medium,543.4,False
Spinach,Vegetable,5.0,42.4,2.6,4.7,5.6,55,Overripe,Medium,1360.0,False
Tamarind,Fruit,0.3,85.6,0.9,4.9,14.1,89,Unripe,Small,369.8,True
Tomato,Vegetable,2.0,55.4,1.1,4.0,6.3,57,Unripe,Medium,822.4,False
Cabbage,Vegetable,4.4,48.3,3.1,6.0,4.2,51,Overripe,Medium,616.4,False
Watermelon,Fruit,11.0,64.5,2.3,4.4,21.8,49,Overripe,Medium,61.4,True
Okra,Vegetable,3.5,24.9,2.9,3.9,6.8,28,Ripe,Medium,264.4,False
Orange,Fruit,10.0,97.1,2.8,1.7,7.7,46,Overripe,Small,445.4,True
Tamarind,Fruit,14.4,55.5,2.3,4.4,22.4,92,Ripe,Large,465.6,True
Banana,Fruit,10.0,36.5,1.5,5.0,8.9,73,Ripe,Small,232.1,True
Bitter Gourd,Vegetable,5.0,36.7,1.6,1.7,4.9,29,Unripe,Large,597.2,False
Banana,Fruit,8.7,57.2,2.4,4.7,14.0,59,Overripe,Medium,180.3,True
Sapodilla,Fruit,14.7,40.8,1.0,2.2,24.5,97,Unripe,Medium,454.7,True
Okra,Vegetable,0.7,24.7,3.7,6.4,8.1,58,Ripe,Medium,1016.3,False
Lychee,Fruit,12.5,45.7,1.4,4.3,10.5,41,Overripe,Small,60.8,True
Pomegranate,Fruit,5.0,92.2,1.7,3.8,5.6,44,Ripe,Small,236.9,True
Grapes,Fruit,6.3,88.6,3.0,3.1,17.1,41,Unripe,Small,473.1,True
Coriander Leaves,Vegetable,2.2,44.8,2.0,2.3,3.1,38,Unripe,Large,765.2,False
Lychee,Fruit,14.3,60.8,2.5,3.2,12.9,80,Ripe,Small,187.2,True
Gooseberry,Fruit,6.1,88.8,2.8,4.2,24.9,59,Unripe,Large,90.3,True
Orange,Fruit,18.7,33.6,0.7,3.3,7.1,84,Ripe,Large,338.2,True
Avocado,Fruit,15.4,93.5,2.6,4.1,20.1,70,Overripe,Medium,233.4,True
Apple,Fruit,15.8,63.8,1.8,1.1,15.7,95,Ripe,Small,229.9,True
Yam,Vegetable,3.4,58.1,2.1,5.8,6.4,54,Overripe,Large,1090.8,False
Spinach,Vegetable,4.4,66.7,4.4,1.2,12.9,45,Ripe,Small,206.5,False
Kohlrabi,Vegetable,3.8,53.9,1.7,4.4,4.6,48,Unripe,Small,671.8,False
Beetroot,Vegetable,3.9,63.2,3.2,7.4,8.9,25,Ripe,Medium,1334.6,False
Dragon Fruit,Fruit,18.5,53.3,2.0,3.0,9.5,56,Unripe,Large,138.2,True
Lychee,Fruit,0.3,97.1,2.1,1.3,7.9,74,Unripe,Small,155.8,True
Green Chili,Vegetable,2.5,57.4,1.7,5.1,3.5,27,Ripe,Small,175.6,False
Fenugreek,Vegetable,0.0,21.0,2.1,2.8,7.9,51,Overripe,Medium,168.4,False
Peas,Vegetable,2.0,21.4,3.4,6.7,9.7,60,Unripe,Small,516.8,False
Cabbage,Vegetable,0.0,44.7,1.1,4.7,8.1,47,Ripe,Large,1195.1,False
Garlic,Vegetable,2.3,51.0,3.3,5.9,12.1,54,Overripe,Medium,1372.3,False
Custard Apple,Fruit,11.8,39.6,1.8,0.7,13.6,44,Ripe,Medium,331.9,True
Cauliflower,Vegetable,3.7,43.1,1.8,7.1,14.8,38,Ripe,Large,397.2,False
Mushrooms,Vegetable,2.7,34.7,1.1,4.8,10.3,31,Overripe,Small,1388.7,False
Brinjal,Vegetable,1.0,25.6,3.9,7.9,12.2,34,Overripe,Medium,766.8,False
Banana,Fruit,8.7,85.1,2.7,0.8,16.1,75,Overripe,Large,153.2,True
Bottle Gourd,Vegetable,0.7,43.7,2.7,3.0,14.9,27,Unripe,Medium,325.0,False
Sweet Lime,Fruit,2.7,56.4,0.8,1.6,12.7,48,Overripe,Small,287.9,True
Colocasia,Vegetable,3.2,32.0,3.6,4.0,11.8,40,Unripe,Medium,1497.3,False
Tomato,Vegetable,4.0,29.9,3.2,2.9,14.0,31,Ripe,Small,411.0,False
Chayote,Vegetable,1.1,49.5,1.2,4.1,3.3,43,Overripe,Medium,973.0,False
Tomato,Vegetable,1.5,45.1,1.5,7.1,7.9,60,Ripe,Large,447.4,False
Fig,Fruit,2.0,94.6,2.7,1.9,5.8,63,Unripe,Small,263.7,True
Turnip,Vegetable,2.7,43.1,2.4,2.8,9.3,37,Overripe,Large,961.6,False
Dragon Fruit,Fruit,16.2,66.4,2.7,1.0,13.0,40,Unripe,Large,83.2,True
Jackfruit,Fruit,3.2,64.7,2.9,4.5,24.9,87,Ripe,Large,387.5,True
Litchi,Fruit,8.3,62.6,0.8,1.7,24.4,91,Overripe,Large,428.4,True
Gooseberry,Fruit,15.7,65.4,1.1,3.1,9.7,72,Overripe,Medium,352.6,True
Radish,Vegetable,0.4,59.2,2.4,7.5,7.6,29,Unripe,Large,881.9,False
Grapes,Fruit,3.8,80.8,2.7,2.1,8.6,81,Ripe,Medium,390.6,True
Watermelon,Fruit,13.6,45.1,2.1,3.9,14.7,69,Ripe,Small,93.7,True
Potato,Vegetable,4.0,54.6,1.5,5.2,11.3,54,Unripe,Large,904.1,False
Pumpkin,Vegetable,3.9,66.0,3.1,6.3,11.3,59,Overripe,Medium,317.1,False
Strawberry,Fruit,18.5,70.4,1.8,4.4,9.5,98,Ripe,Small,206.9,True
French Beans,Vegetable,2.2,22.0,1.7,2.4,6.5,44,Ripe,Medium,791.2,False
Pear,Fruit,16.5,58.4,1.5,2.0,5.8,82,Ripe,Large,391.8,True
Pumpkin,Vegetable,2.2,59.9,2.5,6.9,9.4,49,Ripe,Medium,1196.9,False
Peach,Fruit,9.2,77.1,2.2,1.2,14.2,89,Unripe,Medium,393.5,True
Radish,Vegetable,1.5,53.0,4.7,3.2,6.9,20,Ripe,Medium,976.8,False
Gooseberry,Fruit,7.9,42.7,2.7,2.7,8.5,80,Ripe,Small,115.7,True
Watermelon,Fruit,16.3,63.1,2.1,2.4,12.2,51,Overripe,Large,127.1,True
Mango,Fruit,18.9,66.1,0.7,3.4,9.4,99,Overripe,Small,498.1,True
Avocado,Fruit,3.4,86.5,1.8,1.3,14.1,41,Overripe,Medium,244.7,True
Fig,Fruit,0.6,30.4,2.9,4.0,13.0,93,Overripe,Small,384.4,True
Okra,Vegetable,3.5,28.9,2.2,1.5,5.8,33,Ripe,Medium,1405.9,False
Fenugreek,Vegetable,4.7,34.3,1.8,6.4,8.4,25,Ripe,Large,252.3,False
Bitter Gourd,Vegetable,4.9,47.8,2.8,5.8,5.8,54,Ripe,Small,296.8,False
Tamarind,Fruit,17.7,95.6,1.9,1.9,16.5,81,Ripe,Large,122.1,True
Cauliflower,Vegetable,0.7,39.5,3.3,1.8,11.3,40,Ripe,Medium,825.8,False
Strawberry,Fruit,2.6,79.7,2.5,4.6,18.8,78,Overripe,Small,94.5,True
Okra,Vegetable,3.3,42.0,1.4,2.0,14.3,57,Unripe,Medium,694.6,False
Peas,Vegetable,2.1,56.7,4.3,2.8,5.3,56,Overripe,Large,1454.1,False
French Beans,Vegetable,3.6,23.1,2.6,5.0,9.2,33,Unripe,Medium,1297.7,False
Bitter Gourd,Vegetable,4.1,59.7,3.4,7.5,12.7,23,Ripe,Small,1250.2,False
Fenugreek,Vegetable,1.3,39.7,1.1,1.5,14.7,48,Unripe,Small,608.9,False
French Beans,Vegetable,3.6,27.2,3.2,6.2,5.3,51,Overripe,Large,823.5,False
Orange,Fruit,5.2,52.1,0.9,4.0,14.4,79,Ripe,Small,274.0,True
Fig,Fruit,11.6,41.4,3.0,3.2,15.5,87,Ripe,Large,79.7,True
Apple,Fruit,8.1,88.9,2.3,1.3,9.7,96,Unripe,Small,286.5,True
Pomegranate,Fruit,12.7,53.5,1.8,3.2,11.2,48,Overripe,Small,430.5,True
Colocasia,Vegetable,4.7,42.6,3.9,7.5,5.9,26,Overripe,Medium,1443.4,False
Drumstick,Vegetable,1.0,46.0,2.8,4.6,9.1,50,Overripe,Small,888.2,False
Lychee,Fruit,19.7,59.6,1.3,3.3,15.1,52,Overripe,Medium,488.6,True
Sapodilla,Fruit,5.2,84.0,2.2,1.4,23.0,47,Ripe,Small,343.6,True
Avocado,Fruit,8.0,87.6,2.5,2.5,5.7,54,Ripe,Small,249.4,True
Lychee,Fruit,13.7,77.2,2.6,3.4,15.7,80,Ripe,Medium,131.3,True
Chayote,Vegetable,2.5,45.2,3.8,4.8,8.1,47,Unripe,Small,1149.9,False
Mushrooms,Vegetable,3.4,36.8,4.5,7.8,12.7,48,Ripe,Small,1328.9,False
Banana,Fruit,4.5,59.9,0.9,4.6,15.2,51,Ripe,Small,176.9,True
Tamarind,Fruit,3.3,86.7,2.8,1.6,18.5,91,Ripe,Medium,384.7,True
Tomato,Vegetable,0.3,48.6,3.1,7.6,12.7,27,Overripe,Small,727.8,False
Apple,Fruit,10.7,89.3,0.9,2.4,7.6,47,Unripe,Small,68.5,True
Chayote,Vegetable,2.6,27.2,2.0,3.5,4.3,31,Unripe,Medium,1415.9,False
Cauliflower,Vegetable,4.7,22.8,4.3,2.2,6.3,52,Unripe,Medium,1171.4,False
Jackfruit,Fruit,12.9,74.2,1.6,2.7,9.2,78,Ripe,Small,257.2,True
Bitter Gourd,Vegetable,3.8,67.0,1.1,5.4,12.2,21,Ripe,Small,862.7,False
Pear,Fruit,19.7,42.5,1.7,3.9,18.6,82,Ripe,Medium,336.3,True
Peach,Fruit,7.0,92.9,1.8,2.9,17.8,76,Ripe,Medium,486.3,True
Pineapple,Fruit,11.8,78.8,2.0,4.2,20.7,61,Unripe,Large,250.2,True
Fig,Fruit,19.4,43.0,1.7,3.8,11.0,78,Ripe,Medium,180.7,True
Banana,Fruit,7.6,91.9,1.4,4.4,5.8,60,Unripe,Small,111.6,True
Pineapple,Fruit,5.4,67.5,2.0,3.9,10.6,76,Unripe,Large,490.9,True
Jackfruit,Fruit,11.4,99.4,2.2,0.8,16.3,72,Ripe,Large,53.3,True
Tamarind,Fruit,11.3,55.8,2.3,4.6,5.3,92,Overripe,Large,52.3,True
Turnip,Vegetable,1.7,55.5,1.8,5.8,8.6,34,Ripe,Large,328.6,False
Kohlrabi,Vegetable,1.7,55.5,2.8,4.5,5.9,21,Unripe,Large,922.5,False
Apple,Fruit,19.3,39.4,2.7,1.7,14.5,75,Overripe,Medium,277.3,True
Bottle Gourd,Vegetable,1.0,24.6,4.1,6.9,4.2,33,Ripe,Small,208.3,False
Brinjal,Vegetable,3.0,53.4,1.2,5.8,7.2,42,Ripe,Medium,869.9,False
French Beans,Vegetable,0.2,52.2,3.0,7.7,4.8,42,Unripe,Large,184.0,False
Fig,Fruit,16.3,57.7,1.9,4.5,15.8,83,Unripe,Small,279.9,True
Brinjal,Vegetable,3.5,31.5,1.1,4.5,6.6,49,Unripe,Large,233.8,False
Tomato,Vegetable,3.2,36.5,2.6,7.7,3.4,29,Unripe,Small,1217.6,False
Garlic,Vegetable,0.6,67.1,1.2,5.6,13.7,30,Ripe,Large,820.9,False
Pumpkin,Vegetable,2.3,27.9,3.9,4.6,11.4,50,Unripe,Large,1278.6,False
Pear,Fruit,0.9,68.9,2.0,1.9,9.8,97,Ripe,Large,293.5,True
Mango,Fruit,9.1,85.2,0.8,2.5,23.6,52,Unripe,Small,253.9,True
Mushrooms,Vegetable,0.8,23.7,2.0,7.3,11.1,59,Overripe,Small,192.0,False
Bottle Gourd,Vegetable,2.5,30.6,3.3,4.0,11.8,55,Overripe,Small,1470.7,False
Grapes,Fruit,3.8,88.7,0.7,2.6,7.0,59,Ripe,Medium,295.9,True
Pear,Fruit,13.8,52.8,2.0,4.1,5.1,44,Unripe,Large,52.7,True
Cabbage,Vegetable,5.0,48.7,4.6,1.6,14.3,38,Overripe,Medium,511.1,False
Pumpkin,Vegetable,2.4,48.3,3.3,2.9,11.3,25,Ripe,Large,1136.5,False
Chayote,Vegetable,2.3,54.9,4.0,5.4,12.9,52,Ripe,Medium,354.8,False
Litchi,Fruit,1.8,82.0,2.2,1.7,11.3,99,Ripe,Large,196.5,True
Spinach,Vegetable,1.4,38.9,3.8,4.2,10.0,34,Overripe,Large,1368.3,False
Spinach,Vegetable,2.7,21.5,4.6,2.8,15.0,45,Unripe,Large,760.6,False
Turnip,Vegetable,1.8,63.8,2.5,4.4,14.8,26,Overripe,Large,201.5,False
Banana,Fruit,2.2,60.8,2.4,1.7,6.7,82,Unripe,Large,466.4,True
Mango,Fruit,17.0,78.5,2.0,3.2,21.0,59,Unripe,Large,344.7,True
